,jid,1pereform
0,JVASP-43523.vasp,-2.2864299999999997
1,JVASP-36921.vasp,-1.4312799999999999
2,JVASP-43740.vasp,-2.3981
3,JVASP-50811.vasp,-3.08561
4,JVASP-64272.vasp,0.85045
5,JVASP-44249.vasp,-1.06942
6,JVASP-86212.vasp,-0.7482
7,JVASP-98573.vasp,-0.85208
8,JVASP-91704.vasp,-0.25582
9,JVASP-43643.vasp,-1.68028
10,JVASP-90176.vasp,-0.72078
11,JVASP-64699.vasp,0.05973
12,JVASP-64033.vasp,1.48105
13,JVASP-64123.vasp,0.8733799999999999
14,JVASP-42729.vasp,-1.46449
15,JVASP-64083.vasp,1.0206600000000001
16,JVASP-98523.vasp,-1.18339
17,JVASP-43766.vasp,-2.5440099999999997
18,JVASP-65256.vasp,0.25837
19,JVASP-65295.vasp,0.35771
20,JVASP-91618.vasp,-0.58141
21,JVASP-97658.vasp,-1.11105
22,JVASP-65138.vasp,0.28055
23,JVASP-62899.vasp,-0.32503000000000004
24,JVASP-61741.vasp,-0.68943
25,JVASP-65381.vasp,-0.17531
26,JVASP-86921.vasp,-3.49592
27,JVASP-28367.vasp,-0.43748000000000004
28,JVASP-98791.vasp,-0.7752899999999999
29,JVASP-87066.vasp,-1.03519
30,JVASP-12082.vasp,-0.40091
31,JVASP-63414.vasp,-0.13469
32,JVASP-63193.vasp,-0.63448
33,JVASP-66209.vasp,1.64755
34,JVASP-88230.vasp,-1.90468
35,JVASP-98681.vasp,-0.2771
36,JVASP-98162.vasp,-1.47414
37,JVASP-63065.vasp,-0.56816
38,JVASP-69210.vasp,0.7973899999999999
39,JVASP-97433.vasp,-2.03953
40,JVASP-66104.vasp,1.05234
41,JVASP-69215.vasp,-0.53052
42,JVASP-65539.vasp,-0.4902
43,JVASP-69018.vasp,1.14165
44,JVASP-66475.vasp,0.07801
45,JVASP-66447.vasp,1.39942
46,JVASP-42597.vasp,-2.9630400000000003
47,JVASP-65356.vasp,0.31051
48,JVASP-66047.vasp,-0.41103
49,JVASP-67707.vasp,0.18236
50,JVASP-68372.vasp,-0.09492
51,JVASP-74001.vasp,0.21568
52,JVASP-75568.vasp,0.15448
53,JVASP-66821.vasp,-0.5337
54,JVASP-90033.vasp,1.33674
55,JVASP-68928.vasp,-0.08063
56,JVASP-67796.vasp,-0.034960000000000005
57,JVASP-15532.vasp,-0.6982
58,JVASP-74092.vasp,0.26725
59,JVASP-68066.vasp,-1.02623
60,JVASP-68330.vasp,0.23721
61,JVASP-44920.vasp,-1.51125
62,JVASP-68012.vasp,0.31206999999999996
63,JVASP-70349.vasp,0.45436000000000004
64,JVASP-67692.vasp,0.66035
65,JVASP-4846.vasp,1.215
66,JVASP-48499.vasp,-2.61174
67,JVASP-69962.vasp,-0.12193
68,JVASP-92376.vasp,2.06397
69,JVASP-92307.vasp,0.051210000000000006
70,JVASP-69506.vasp,0.7068800000000001
71,JVASP-70067.vasp,0.39543
72,JVASP-71822.vasp,0.49126000000000003
73,JVASP-74295.vasp,0.49753000000000003
74,JVASP-70072.vasp,0.70396
75,JVASP-71448.vasp,-0.39532
76,JVASP-63886.vasp,0.30296
77,JVASP-74306.vasp,0.30646
78,JVASP-71345.vasp,0.12769
79,JVASP-52803.vasp,-2.56964
80,JVASP-105757.vasp,-0.41103999999999996
81,JVASP-95201.vasp,-3.4661199999999996
82,JVASP-74853.vasp,0.0855
83,JVASP-94148.vasp,-0.05192000000000002
84,JVASP-94101.vasp,0.11714000000000001
85,JVASP-15354.vasp,-0.8307200000000001
86,JVASP-93147.vasp,0.18066
87,JVASP-71849.vasp,-0.68479
88,JVASP-99073.vasp,-1.6807
89,JVASP-106153.vasp,0.25246
90,JVASP-71924.vasp,0.39609
91,JVASP-94836.vasp,-2.2198900000000004
92,JVASP-42145.vasp,-1.47947
93,JVASP-95250.vasp,-0.99741
94,JVASP-99893.vasp,-0.48632
95,JVASP-92580.vasp,0.45338999999999996
96,JVASP-99528.vasp,-2.23886
97,JVASP-16197.vasp,-0.42153
98,JVASP-99384.vasp,-0.25151999999999997
99,JVASP-99855.vasp,-0.66082
100,JVASP-94897.vasp,-0.41322
101,JVASP-93807.vasp,-0.6978800000000001
102,JVASP-14978.vasp,-0.30159
103,JVASP-14867.vasp,-0.5007
104,JVASP-93713.vasp,-1.10212
105,JVASP-105608.vasp,-0.6583399999999999
106,JVASP-99861.vasp,-0.5545
107,JVASP-94964.vasp,-1.0585799999999999
108,JVASP-93421.vasp,0.11588
109,JVASP-103286.vasp,-0.36976
110,JVASP-53577.vasp,-0.5132899999999999
111,JVASP-99677.vasp,-0.80587
112,JVASP-42459.vasp,-3.1407599999999998
113,JVASP-100669.vasp,-0.0706
114,JVASP-99682.vasp,-1.6122100000000001
115,JVASP-103706.vasp,-0.7320399999999999
116,JVASP-102288.vasp,-0.36871
117,JVASP-100380.vasp,-0.30208
118,JVASP-100882.vasp,-1.10253
119,JVASP-102113.vasp,-0.60223
120,JVASP-102172.vasp,-0.27942
121,JVASP-103138.vasp,-0.6036199999999999
122,JVASP-15712.vasp,-0.779
123,JVASP-15405.vasp,-0.9442799999999999
124,JVASP-15663.vasp,0.15184
125,JVASP-100705.vasp,0.12786
126,JVASP-100572.vasp,-1.85307
127,JVASP-15138.vasp,-0.45742
128,JVASP-100852.vasp,-2.08317
129,JVASP-102304.vasp,-1.9758799999999999
130,JVASP-101846.vasp,0.07151
131,JVASP-101022.vasp,0.00855
132,JVASP-15761.vasp,-0.34563
133,JVASP-14899.vasp,-0.68893
134,JVASP-14606.vasp,0.0
135,JVASP-48538.vasp,-2.9201799999999998
136,JVASP-101856.vasp,0.02812
137,JVASP-105407.vasp,-0.69209
138,JVASP-105410.vasp,0.01025
139,JVASP-104533.vasp,-1.6122
140,JVASP-105347.vasp,-3.71591
141,JVASP-102319.vasp,-0.01756
142,JVASP-43150.vasp,-1.9392900000000002
143,JVASP-101633.vasp,-2.3039400000000003
144,JVASP-106729.vasp,-0.22524
145,JVASP-104581.vasp,-0.85831
146,JVASP-42199.vasp,-1.5339200000000002
147,JVASP-107338.vasp,-0.94765
148,JVASP-19830.vasp,-0.31222
149,JVASP-105125.vasp,-0.5292600000000001
150,JVASP-107342.vasp,-0.57957
151,JVASP-101921.vasp,-0.41483000000000003
152,JVASP-107136.vasp,-1.7620099999999999
153,JVASP-104553.vasp,-0.50797
154,JVASP-102840.vasp,-2.28572
155,JVASP-19898.vasp,-0.88265
156,JVASP-107576.vasp,-1.3426
157,JVASP-5296.vasp,-0.62355
158,JVASP-107158.vasp,0.030289999999999997
159,JVASP-45603.vasp,-2.61639
160,JVASP-2616.vasp,-2.949
161,JVASP-58042.vasp,-1.50451
162,JVASP-106539.vasp,-1.28
163,JVASP-60642.vasp,-1.3086799999999998
164,JVASP-51244.vasp,0.45679
165,JVASP-15732.vasp,-0.7083
166,JVASP-106772.vasp,-0.28089000000000003
167,JVASP-7889.vasp,-2.09728
168,JVASP-2865.vasp,-1.8918099999999998
169,JVASP-8222.vasp,-0.16571
170,JVASP-8685.vasp,-0.06015
171,JVASP-10676.vasp,-0.42231
172,JVASP-18818.vasp,-0.5875100000000001
173,JVASP-8278.vasp,-0.08188
174,JVASP-20414.vasp,-0.11795
175,JVASP-21248.vasp,-0.63563
176,JVASP-7859.vasp,-2.73827
177,JVASP-7693.vasp,-2.4129099999999997
178,JVASP-7864.vasp,-0.67569
179,JVASP-8001.vasp,-1.40066
180,JVASP-7870.vasp,-1.31371
181,JVASP-56386.vasp,-0.99292
182,JVASP-10088.vasp,-0.59982
183,JVASP-8562.vasp,-0.15141
184,JVASP-10230.vasp,-0.5232899999999999
185,JVASP-30282.vasp,-1.44824
186,JVASP-30474.vasp,0.42887
187,JVASP-30475.vasp,-3.13282
188,JVASP-51355.vasp,-1.26678
189,JVASP-30554.vasp,-1.111
190,JVASP-48630.vasp,-2.40002
191,JVASP-34910.vasp,-3.9702599999999997
192,JVASP-8749.vasp,-0.84905
193,JVASP-8400.vasp,-2.32642
194,JVASP-137.vasp,-0.67065
195,JVASP-12626.vasp,-1.50129
196,JVASP-10461.vasp,-0.67919
197,JVASP-79059.vasp,0.68006
198,JVASP-36216.vasp,0.4161
199,JVASP-4879.vasp,-1.3451600000000001
200,JVASP-10806.vasp,-3.05096
201,JVASP-57149.vasp,-0.9444
202,JVASP-11153.vasp,-1.56636
203,JVASP-34239.vasp,-1.8354
204,JVASP-80001.vasp,-0.49328999999999995
205,JVASP-78914.vasp,-1.8566799999999999
206,JVASP-34634.vasp,-1.97957
207,JVASP-80718.vasp,1.36419
208,JVASP-80081.vasp,-0.78317
209,JVASP-36269.vasp,1.0262200000000001
210,JVASP-1103.vasp,-0.41698
211,JVASP-81014.vasp,0.19732
212,JVASP-36038.vasp,0.23271999999999998
213,JVASP-13988.vasp,-0.059670000000000015
214,JVASP-10973.vasp,0.35026999999999997
215,JVASP-9435.vasp,-3.1763
216,JVASP-34490.vasp,-2.94723
217,JVASP-36602.vasp,-2.26755
218,JVASP-36301.vasp,0.05599
219,JVASP-22668.vasp,-0.53576
220,JVASP-35703.vasp,-0.07135
221,JVASP-30594.vasp,-3.4304099999999997
222,JVASP-35659.vasp,-0.22104000000000001
223,JVASP-21817.vasp,-0.89891
224,JVASP-22910.vasp,-0.28920999999999997
225,JVASP-41668.vasp,-0.30585999999999997
226,JVASP-41716.vasp,-0.54064
227,JVASP-42108.vasp,-0.61455
228,JVASP-23084.vasp,-0.35891999999999996
229,JVASP-35847.vasp,-0.28519
230,JVASP-22833.vasp,-2.89581
231,JVASP-40942.vasp,-0.43871000000000004
232,JVASP-41244.vasp,-0.59244
233,JVASP-41845.vasp,-0.6343300000000001
234,JVASP-50038.vasp,-3.5934699999999995
235,JVASP-41997.vasp,-0.78585
236,JVASP-41293.vasp,-0.6110300000000001
237,JVASP-35370.vasp,-0.32082
238,JVASP-41856.vasp,-0.48561000000000004
239,JVASP-55016.vasp,-0.9128299999999999
240,JVASP-35224.vasp,-2.6522099999999997
241,JVASP-20448.vasp,-0.86774
242,JVASP-35065.vasp,-1.03732
243,JVASP-39874.vasp,-0.47872
244,JVASP-35377.vasp,-0.31118
245,JVASP-56797.vasp,-0.32352
246,JVASP-41703.vasp,-1.05672
247,JVASP-39982.vasp,-1.5701200000000002
248,JVASP-39652.vasp,-0.74015
249,JVASP-35436.vasp,-0.52149
250,JVASP-40033.vasp,-0.755
251,JVASP-57080.vasp,-1.30644
252,JVASP-40822.vasp,-0.16787
253,JVASP-40417.vasp,-1.7281
254,JVASP-25273.vasp,0.0
255,JVASP-21586.vasp,-0.65654
256,JVASP-39744.vasp,-0.40292
257,JVASP-42104.vasp,-0.41786999999999996
258,JVASP-40480.vasp,-2.94421
259,JVASP-15902.vasp,0.10847000000000001
260,JVASP-39916.vasp,-0.4335600000000001
261,JVASP-54863.vasp,-0.9471799999999999
262,JVASP-39969.vasp,-0.8521
263,JVASP-25153.vasp,0.06567
264,JVASP-25170.vasp,0.00072
